<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20200826,00:00:00,50.32,50.56,50.02,60.32,
DATA,D,20200827,00:00:00,50.48,50.56,49.8,60.48,
DATA,D,20200828,00:00:00,50.12,50.12,49.4,60.12,
DATA,D,20200831,00:00:00,49.8,50.06,49.16,59.8,
DATA,D,20200901,00:00:00,49.64,49.78,49.2,59.64,
DATA,D,20200902,00:00:00,49.7,49.94,49,59.7,
DATA,D,20200903,00:00:00,49.38,49.4,48.5,59.38,
DATA,D,20200904,00:00:00,48.7,49,48.26,58.7,
DATA,D,20200907,00:00:00,48.54,49.06,48.54,58.54,
DATA,D,20200908,00:00:00,48.92,49.1,47.8,58.92,
DATA,D,20200909,00:00:00,48.02,48.2,47.82,58.02,
DATA,D,20200910,00:00:00,47.94,48.22,47.5,57.94,
DATA,D,20200911,00:00:00,48.1,48.48,47.8,58.1,
DATA,D,20200914,00:00:00,48.26,48.9,48.26,58.26,
DATA,D,20200915,00:00:00,48.86,49.6,48.74,58.86,
DATA,D,20200916,00:00:00,49.48,49.76,49.18,59.48,
DATA,D,20200917,00:00:00,49.24,49.48,48.84,59.24,
DATA,D,20200918,00:00:00,49.48,49.58,49.02,59.48,
DATA,D,20200921,00:00:00,49.08,49.08,47.4,59.08,
DATA,D,20200922,00:00:00,48.06,48.44,47.66,58.06,
DATA,D,20200923,00:00:00,48,49.14,48,58,
DATA,D,20200924,00:00:00,48.54,48.54,47.96,58.54,
DATA,D,20200925,00:00:00,48.2,48.4,47.8,58.2,
DATA,D,20200928,00:00:00,48.52,48.82,48.26,58.52,
DATA,D,20200929,00:00:00,48.92,49.04,48.04,58.92,
DATA,D,20200930,00:00:00,48.26,48.6,48.02,58.26,
DATA,D,20201001,00:00:00,48.22,48.6,48.02,58.22,
DATA,D,20201002,00:00:00,47.5,47.62,47.06,57.5,
DATA,D,20201005,00:00:00,48,48.38,47.88,58,
DATA,D,20201006,00:00:00,48.48,48.88,48.38,58.48,
DATA,D,20201007,00:00:00,48.38,48.64,47.9,58.38,
DATA,D,20201008,00:00:00,48.16,48.18,47.82,58.16,
DATA,D,20201009,00:00:00,47.96,47.98,47.36,57.96,
DATA,D,20201012,00:00:00,47.7,48.26,47.7,57.7,
DATA,D,20201013,00:00:00,48.32,48.38,47.7,58.32,
DATA,D,20201014,00:00:00,47.88,48.26,47.72,57.88,
DATA,D,20201015,00:00:00,48.2,48.2,47.44,58.2,
DATA,D,20201016,00:00:00,47.7,47.7,47.12,57.7,
DATA,D,20201019,00:00:00,47.4,47.5,47.16,57.4,
DATA,D,20201020,00:00:00,47.18,47.5,46.98,57.18,
DATA,D,20201021,00:00:00,47.28,47.64,47.12,57.28,
DATA,D,20201022,00:00:00,47.2,47.46,47.04,57.2,
DATA,D,20201023,00:00:00,47.5,47.76,47.26,57.5,
DATA,D,20201026,00:00:00,47.64,47.68,47.1,57.64,
DATA,D,20201027,00:00:00,47.2,47.34,46.64,57.2,
DATA,D,20201028,00:00:00,46.62,46.7,45.4,56.62,
DATA,D,20201029,00:00:00,45.86,46,45.42,55.86,
DATA,D,20201030,00:00:00,45.5,45.78,45.14,55.5,
DATA,D,20201102,00:00:00,45.58,46.42,45.04,55.58,
DATA,D,20201103,00:00:00,46.38,47.08,46.38,56.38,
DATA,D,20201105,00:00:00,47.3,48.34,47.3,57.3,
DATA,D,20201106,00:00:00,48.2,48.8,47.8,58.2,
DATA,D,20201109,00:00:00,48.88,50.36,48.88,58.88,
DATA,D,20201110,00:00:00,50.06,50.84,49.58,60.06,
DATA,D,20201111,00:00:00,50.54,51.08,50.38,60.54,
DATA,D,20201112,00:00:00,50.82,51,50.4,60.82,
DATA,D,20201113,00:00:00,50.92,51,50.58,60.92,
DATA,D,20201116,00:00:00,51.12,52,50.96,61.12,
DATA,D,20201117,00:00:00,52.1,52.1,51.08,62.1,
DATA,D,20201118,00:00:00,51.62,51.98,51.2,61.62,
DATA,D,20201119,00:00:00,51.94,51.94,51.3,61.94,
DATA,D,20201120,00:00:00,51.66,51.76,51.32,61.66,
DATA,D,20201123,00:00:00,51.64,52.24,51.5,61.64,
DATA,D,20201124,00:00:00,51.76,52.24,51.6,61.76,
DATA,D,20201125,00:00:00,52.26,53,52.2,62.26,
DATA,D,20201126,00:00:00,52.94,53.3,52.8,62.94,
DATA,D,20201127,00:00:00,52.96,53.06,52.4,62.96,
DATA,D,20201130,00:00:00,52.86,53.02,52.2,62.86,
DATA,D,20201201,00:00:00,52.52,53.38,52.48,62.52,
DATA,D,20201202,00:00:00,53.06,53.8,53,63.06,
DATA,D,20201203,00:00:00,53.72,54,53.14,63.72,
DATA,D,20201204,00:00:00,53.5,54,53.28,63.5,
DATA,D,20201207,00:00:00,53.66,54.2,53.66,63.66,
DATA,D,20201208,00:00:00,53.94,53.94,53.2,63.94,
DATA,D,20201209,00:00:00,53.74,54.46,53.66,63.74,
